Schema Name,Root (Childhood Unmet Need),Symptoms,Element Links
Abandonment/Instability,Unstable or unreliable caregiving; fear that close others will leave.,"Intense fear of loss, clinginess or avoidance in relationships, jealousy, emotional volatility.","Connection (attachment worry), Roots (parent absence/loss), Stability (world anxiety)"
Mistrust/Abuse,"Abuse, betrayal, or manipulation by caregivers/others.","Expectation of harm/deception, hypervigilance, difficulty trusting, may test or provoke others.","Roots (abuse/trauma items), Connection (trust difficulty), Environment (safety concerns)"
Emotional Deprivation,"Lack of nurturance, empathy, or affection from caregivers.","Belief no one will meet emotional needs, loneliness, difficulty asking for support, choosing depriving partners.","Connection (closeness/intimacy), Roots (neglect/affection lack), Vitality (mood)"
Defectiveness/Shame,"Criticism, rejection, or shaming; feeling inherently flawed.","Deep shame, self-loathing, hypersensitivity to criticism, hiding ""defects"", self-sabotage in relationships.","Digital Wellbeing (comparison), Meaning (self-worth), Roots (insults/shame)"
Social Isolation/Alienation,Feeling different or excluded from family/peers.,"Sense of being outsider, avoidance of groups despite longing, feeling no one understands.","Connection (outsider feelings), Environment (spaces/personal identity), Digital Wellbeing (comparison)"
Dependence/Incompetence,Overprotection or discouragement of independence.,"Belief one is incapable, excessive reliance on others, avoidance of responsibility, helplessness.","Growth (coping/capability), Vitality (focus/energy), Roots (parentification)"
Vulnerability to Harm or Illness,Exaggerated danger or traumatic events.,"Catastrophizing, excessive precaution, phobias, hypochondria.","Vitality (health/resilience), Environment (safety/noise/light), Stability (world anxiety)"
Enmeshment/Undeveloped Self,Over-involved caregivers; no separate identity encouraged.,"Lack of individual direction, guilt when separate, fusion with others' emotions/needs.","Connection (preoccupation), Meaning (choices/values), Roots (household mental illness)"
Failure,Criticism or comparison leading to belief in inevitable failure.,"Avoidance of challenges, self-sabotage, underachievement despite ability.","Growth (achievement/perfection), Stability (financial plan), Vitality (energy)"
Entitlement/Grandiosity,Overindulgence or lack of limits.,"Belief one is superior, demands special treatment, lack of empathy/reciprocal responsibility.","Growth (deservingness/empathy), Digital Wellbeing (rules/control)"
Insufficient Self-Control/Self-Discipline,Lack of structure or consequences.,"Difficulty tolerating frustration, impulsivity, avoidance of discomfort needed for goals.","Digital Wellbeing (scrolling/notifications), Stability (savings), Growth (procrastination)"
Subjugation,Punishment for asserting needs; dominance in family.,"Suppression of anger/needs to avoid retaliation, passive compliance, bottled resentment.","Connection (suppression/peace), Growth (conflict avoidance)"
Self-Sacrifice,Guilt or modeling of excessive giving.,"Over-focus on others' needs, neglect own, resentment, burnout.","Meaning (helping/meaning), Connection (preoccupation), Roots (parentification)"
Approval-Seeking/Recognition-Seeking,Love conditional on performance/appearance.,"Excessive need for admiration, identity based on external validation, conformity.","Digital Wellbeing (validation/likes), Meaning (respect), Growth (worth)"
Negativity/Pessimism,Focus on negative in family; repeated hardship.,"Chronic focus on negatives, worry, discounting positives, life feels bleak.","Vitality (mood/energy), Stability (world anxiety), Meaning (gratitude/peace)"
Emotional Inhibition,Suppression of emotions shamed or punished.,"Restraint of feelings, fear of losing control, appear rigid/cold, difficulty with spontaneity.","Connection (hiding feelings), Digital Wellbeing (curating self), Vitality (mood)"
Unrelenting Standards/Hypercriticalness,High pressure for performance; criticism for imperfection.,"Perfectionism, chronic dissatisfaction, burnout, harsh self/other judgment.","Growth (perfection/strive), Meaning (peace), Connection (suppression)"
Punitiveness,Harsh punishment; intolerance of mistakes.,"Self-punishing or punitive toward others, difficulty forgiving errors.","Vitality (guilt/appetite), Growth (critical mistakes), Roots (cruel discipline)"
