ID,Battery Name,Question Text,Scale Type,Scale Options,Scoring Logic
1,MSS-Inspired,I fall asleep within 30 minutes most nights.,5-point,0 = Almost never → 4 = Always,Reverse (Vulnerability to Harm or Illness)
2,MSS-Inspired,I wake up feeling refreshed after 7–9 hours of sleep.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Negativity/Pessimism)
3,MSS-Inspired,My energy stays steady for most of the day.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Dependence/Incompetence)
4,MSS-Inspired,"I can do normal daily activities without unusual aches, strain, or pain.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Vulnerability to Harm or Illness)
5,MSS-Inspired,I expect people to go out of their way to meet my needs.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Entitlement/Grandiosity)
6,MSS-Inspired,"My focus, memory, and mental clarity are reliable most days.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Dependence/Incompetence)
7,MSS-Inspired,I feel physically resilient and bounce back quickly from exertion or stress.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Vulnerability to Harm or Illness)
8,MSS-Inspired,My mood is generally positive and I handle daily stress without feeling overwhelmed.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Negativity/Pessimism)
9,WES,"My home, work, and neighbourhood spaces actively support my well-being.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Negativity/Pessimism)
10,HES,I have enough private and personal space in my home.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Enmeshment/Undeveloped Self)
11,MSS-Inspired,"My living and working spaces feel physically safe (no major hazards, mould, pests, broken stairs, etc.).",5-point,0 = Never → 4 = Always,Direct (Vulnerability to Harm or Illness)
12,MSS-Inspired,I get a good amount of natural daylight in the rooms where I spend most of my day.,5-point,0 = Almost none → 4 = Plenty,Direct (Emotional Inhibition)
13,MSS-Inspired,Noise levels in my home and workspace allow me to rest and concentrate when I need to.,5-point,0 = Never → 4 = Always,Direct (Vulnerability to Harm or Illness)
14,MSS-Inspired,My spaces are reasonably organised and uncluttered (I can find things and move around easily).,5-point,0 = Never → 4 = Always,Direct (Dependence/Incompetence)
15,MSS-Inspired,"I have regular access to nature (plants indoors, a garden, nearby park, or even a view of trees/sky).",5-point,0 = Almost never → 4 = Daily,Direct (Negativity/Pessimism)
16,MSS-Inspired,"My home and workspace feel like “me” — they contain colours, objects, or art that reflect who I am.",5-point,0 = Not at all → 4 = Very much,Direct (Enmeshment/Undeveloped Self)
17,MSS-Inspired,I believe rules don't apply to me the way they do to others.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Entitlement/Grandiosity)
18,MSS-Inspired,Seeing other people’s highlight reels online makes me feel like I’m not good enough.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Defectiveness/Shame)
19,MSS-Inspired,"I feel anxious or empty if I don’t get likes, replies, or validation quickly.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Abandonment/Instability)
20,MSS-Inspired,I sometimes hide my real feelings or curate a “perfect” version of myself online.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Emotional Inhibition)
21,MSS-Inspired,Notifications and messages often interrupt my focus or time with people I care about.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Insufficient Self-Control/Self-Discipline)
22,MSS-Inspired,I often say yes to requests even when I want to say no.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Subjugation)
23,CFPB,I never have trouble paying my bills on time.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Failure)
24,CFPB,"I could comfortably handle a major unexpected expense (e.g., hospital bill).",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Vulnerability to Harm or Illness)
25,Financial Anxiety,I feel stressed about my personal finances.,5-point,0 = Never → 4 = Always,Direct (Negativity/Pessimism)
26,Savings Behaviour,I regularly set aside money for long-term savings.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Insufficient Self-Control/Self-Discipline)
27,Savings Behaviour,I have a clear financial plan for the next few years.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Negativity/Pessimism)
